4466.0000 C = 8070.7998 F
3206.0000 C = 5802.7998 F
3040.0000 C = 5504.0000 F
ERROR: Input tidak valid: 305.0000y
772.0000 F = 411.1111 C
ERROR: Input tidak valid: 2256.0000x
ERROR: Input tidak valid: 107.0000z
ERROR: Input tidak valid: 3867.0000y
ERROR: Input tidak valid: 4535.0000x
ERROR: Input tidak valid: 1752.0000y
ERROR: Input tidak valid: 2672.0000p
ERROR: Input tidak valid: 2690.0000y
ERROR: Input tidak valid: 4476.0000m
ERROR: Input tidak valid: 4073.0000m
ERROR: Input tidak valid: 59.0000y
ERROR: Input tidak valid: 680.0000m
4892.0000 C = 8837.5996 F
ERROR: Input tidak valid: 1011.0000z
3643.0000 F = 2006.1111 C
ERROR: Input tidak valid: 1253.0000y
ERROR: Input tidak valid: 766.0000x
ERROR: Input tidak valid: 2605.0000x
1684.0000 C = 3063.2000 F
ERROR: Input tidak valid: 3748.0000y
ERROR: Input tidak valid: 3506.0000p
ERROR: Input tidak valid: 3684.0000x
ERROR: Input tidak valid: 809.0000z
3786.0000 F = 2085.5557 C
ERROR: Input tidak valid: 3072.0000m
2887.0000 C = 5228.6001 F
2138.0000 C = 3880.3999 F
1536.0000 F = 835.5555 C
1826.0000 C = 3318.8000 F
ERROR: Input tidak valid: 3067.0000m
ERROR: Input tidak valid: 2780.0000y
ERROR: Input tidak valid: 3844.0000p
4335.0000 C = 7835.0000 F
4744.0000 F = 2617.7778 C
ERROR: Input tidak valid: 1372.0000y
ERROR: Input tidak valid: 3580.0000x
ERROR: Input tidak valid: 4431.0000y
ERROR: Input tidak valid: 534.0000x
2876.0000 C = 5208.7998 F
966.0000 C = 1770.8000 F
ERROR: Input tidak valid: 2068.0000y
ERROR: Input tidak valid: 4490.0000x
ERROR: Input tidak valid: 429.0000x
ERROR: Input tidak valid: 3664.0000m
ERROR: Input tidak valid: 2786.0000y
971.0000 C = 1779.8000 F
ERROR: Input tidak valid: 2561.0000m
ERROR: Input tidak valid: 4362.0000m
ERROR: Input tidak valid: 4535.0000p
ERROR: Input tidak valid: 2543.0000m
ERROR: Input tidak valid: 4437.0000z
ERROR: Input tidak valid: 1434.0000p
ERROR: Input tidak valid: 4730.0000m
ERROR: Input tidak valid: 2115.0000x
ERROR: Input tidak valid: 2425.0000y
ERROR: Input tidak valid: 3758.0000p
1738.0000 F = 947.7778 C
ERROR: Input tidak valid: 1587.0000p
ERROR: Input tidak valid: 2121.0000y
2085.0000 F = 1140.5555 C
ERROR: Input tidak valid: 3940.0000x
ERROR: Input tidak valid: 1353.0000z
ERROR: Input tidak valid: 1597.0000p
1797.0000 C = 3266.6001 F
ERROR: Input tidak valid: 2823.0000z
ERROR: Input tidak valid: 872.0000p
555.0000 F = 290.5555 C
ERROR: Input tidak valid: 2809.0000z
ERROR: Input tidak valid: 1487.0000p
ERROR: Input tidak valid: 199.0000p
ERROR: Input tidak valid: 3869.0000m
3139.0000 C = 5682.2002 F
4086.0000 C = 7386.7998 F
ERROR: Input tidak valid: 4252.0000x
ERROR: Input tidak valid: 4201.0000y
ERROR: Input tidak valid: 320.0000y
ERROR: Input tidak valid: 1676.0000p
ERROR: Input tidak valid: 2703.0000z
ERROR: Input tidak valid: 444.0000z
4090.0000 C = 7394.0000 F
ERROR: Input tidak valid: 2556.0000p
ERROR: Input tidak valid: 789.0000x
ERROR: Input tidak valid: 212.0000m
ERROR: Input tidak valid: 1401.0000m
2866.0000 F = 1574.4445 C
2510.0000 C = 4550.0000 F
ERROR: Input tidak valid: 961.0000p
1794.0000 C = 3261.2000 F
ERROR: Input tidak valid: 3716.0000m
440.0000 F = 226.6667 C
ERROR: Input tidak valid: 4778.0000m
ERROR: Input tidak valid: 3410.0000y
ERROR: Input tidak valid: 3407.0000x
184.0000 C = 363.2000 F
3930.0000 F = 2165.5557 C
ERROR: Input tidak valid: 926.0000p
ERROR: Input tidak valid: 3885.0000p
3824.0000 F = 2106.6667 C
ERROR: Input tidak valid: 1689.0000p
ERROR: Input tidak valid: 4961.0000p
ERROR: Input tidak valid: 2234.0000x
ERROR: Input tidak valid: 532.0000m
12.0000 F = -11.1111 C
47.0000 C = 116.6000 F
